old_ncs_line_code,new_ncs_line_code
D900Bb,D900Bb
D900Cb,D900Cb
D900Da,D900Da
D910Ab,D910Ab
D910Bb,D910Bb
D910Ca,D910Ca
D910Db,D910Db
D910Ea,D910Ea
D910Fb,D910Fb
D910Ga,D910Ga
D915Ab,D915Ab
D915Ba,D915Ba
D915Ca,D915Ca
D915Da,D915Da
D915Eb,D915Eb
D916Aa,D916Aa
D916Bb,D916Bb
D916Ca,D916Ca
D916Db,D916Db
D922Aa,D922Aa
D922Bb,D922Bb
D922Ca,D922Ca
D922Db,D922Db
D922Eb,D922Eb
D922Fb,D922Fb
D922Ga,D922Ga
D922Ha,D922Ha
D922Ib,D922Ib
D950Aa,D950Aa
D950Bb,D950Bb
D950Ca,D950Ca
D950Da,D950Da
D950Eb,D950Eb
D950Fb,D950Fb
D950Ga,D950Ga
D950Ha,D950Ha
D950Ib,D950Ib
D950Jb,D950Jb
D950Kb,D950Kb
D950Lb,D950Lb
D960Ab,D960Ab
D960Ba,GB960Ba
GB12Aa,GB012Aa
GB12Bb,GB012Bb
GB12Cb,GB012Cb
GB15Ab,GB015Ab
GB15Ba,GB015Ba
GB15Ca,GB015Ca
GB15Db,GB015Db
GB16Aa,GB016Aa
GB16Bb,GB016Bb
GB18Ab,GB018Ab
GB18Bb,GB018Bb
GB18Ca,GB018Ca
GB18Da,GB018Da
GB18Eb,GB018Eb
GB18Fa,GB018Fa
GB19Aa,GB019Aa
GB19Ba,GB019Ba
GB19Ca,GB019Ca
GB19Db,GB019Db
GB19Eb,GB019Eb
GB19Fb,GB019Fb
GB20Aa,GB020Aa
GB20Bb,GB020Bb
GB21Aa,GB021Aa
GB21Bb,GB021Bb
GB21Ca,GB021Ca
GB21Db,GB021Db
GB21Eb,GB021Eb
GB21Fb,GB021Fb
GB21Ga,GB021Ga
GB21Hb,GB021Hb
GB21Ia,GB021Ia
GB21Jb,GB021Jb
GB21Kb,GB021Kb
GB21Lb,GB021Lb
GB21Ma,GB021Ma
GB21Nb,GB021Nb
GB21Oa,GB021Oa
GB21Pb,GB021Pb
GB21Qb,GB021Qb
GB21Rb,GB021Rb
GB21Sb,GB021Sb
GB21Ta,GB021Ta
GB21Ua,GB021Ua
GB21Va,GB021Va
GB21Wb,GB021Wb
GB24Ab,GB024Ab
GB24Ba,GB024Ba
GB25Aa,GB025Aa
GB25Ba,GB025Ba
GB25Cb,GB025Cb
GB25Db,GB025Db
GB27Ab,GB027Ab
GB27Ba,GB027Ba
GB27Cb,GB027Cb
GB27Da,GB027Da
GB27Ea,GB027Ea
GB27Fb,GB027Fb
GB27Gb,GB027Gb
GB27Ha,GB027Ha
GB27Ib,GB027Ib
GB29Ab,GB029Ab
GB29Ba,GB029Ba
GB29Ca,GB029Ca
GB30Ab,GB030Ab
GB30Ba,GB030Ba
GB31Ab,GB031Ab
GB31Ba,GB031Ba
GB31Cb,GB031Cb
GB31Da,GB031Da
GB31Ea,GB031Ea
GB31Fb,GB031Fb
GB31Ga,GB031Ga
GB31Ha,GB031Ha
GB31Ia,GB031Ia
GB31Jb,GB031Jb
GB31Kb,GB031Kb
GB31Lb,GB031Lb
GB31Mb,GB031Mb
GB32Aa,GB032Aa
GB32Bb,GB032Bb
GB32Ca,GB032Ca
GB32Db,GB032Db
GB32Eb,GB032Eb
GB33Ab,GB033Ab
GB33Ba,GB033Ba
GB33Ca,GB033Ca
GB33Db,GB033Db
GB33Ea,GB033Ea
GB33Fb,GB033Fb
GB33Ga,GB033Ga
GB33Ha,GB033Ha
GB33Ia,GB033Ia
GB33Ja,GB033Ja
GB33Kb,GB033Kb
GB34Ab,GB034Ab
GB34Ba,GB034Ba
GB36Ab,GB036Ab
GB36Ba,GB036Ba
GB37Ab,GB037Ab
GB37Ba,GB037Ba
GB38Aa,GB038Aa
GB38Ba,GB038Ba
GB38Cb,GB038Cb
GB38Db,GB038Db
GB40Aa,GB040Aa
GB40Ba,GB040Ba
GB40Cb,GB040Cb
GB40Db,GB040Db
GB45Aa,GB045Aa
GB45Ba,GB045Ba
GB45Cb,GB045Cb
GB45Db,GB045Db
GB46Ab,GB046Ab
GB46Ba,GB046Ba
GB46Cb,GB046Cb
GB46Da,GB046Da
GB47Aa,GB047Aa
GB47Bb,GB047Bb
GB47Cb,GB047Cb
GB47Db,GB047Db
GB47Eb,GB047Eb
GB47Fa,GB047Fa
GB47Ga,GB047Ga
GB47Ha,GB047Ha
GB47Ia,GB047Ia
GB47Jb,GB047Jb
GB47Kb,GB047Kb
GB47Lb,GB047Lb
GB47Ma,GB047Ma
GB47Na,GB047Na
GB48Aa,GB048Aa
GB48Ba,GB048Ba
GB48Cb,GB048Cb
GB48Db,GB048Db
GB48Ea,GB048Ea
GB48Fb,GB048Fb
GB51Ab,GB051Ab
GB51Ba,GB051Ba
GB51Cb,GB051Cb
GB51Db,GB051Db
GB51Eb,GB051Eb
GB51Fb,GB051Fb
GB51Ga,GB051Ga
GB51Ha,GB051Ha
GB51Ia,GB051Ia
GB52Aa,GB052Aa
GB52Bb,GB052Bb
GB52Cb,GB052Cb
